LO	un	Defending Against Neural Fake News	2019	https://arxiv.org/abs/1905.12616	Rowan Zellers, Ari Holtzman, Hannah Rashkin, Yonatan Bisk, Ali Farhadi, Franziska Roesner, Yejin Choi	arXiv	arXiv	http://rowanzellers.com/grover/, Demo
R	un	Improving Robot Success Detection using Static Object Data	2019	https://arxiv.org/abs/1904.01650	Rosario Scalise, Jesse Thomason, Yonatan Bisk, Siddhartha Srinivasa	arXiv	arXiv	https://www.youtube.com/watch?v=0uk_1yP9hqM,Video
O	un	FIND: Identifying Functionally and Structurally Important Features in Protein Sequences with Deep Neural Networks	2019	https://www.biorxiv.org/content/10.1101/592808v1	Ranjani Murali, James Hemp, Victoria Orphan, Yonatan Bisk	bioRxiv	bioRxiv	
RV	un	Early Fusion for Goal Directed Robotic Vision	2018	https://arxiv.org/abs/1811.08824	Aaron Walsman, Yonatan Bisk, Saadia Gabriel, Dipendra Misra, Yoav Artzi, Yejin Choi, Dieter Fox 	arXiv	arXiv	
L	proc	HellaSwag: Can a Machine Really Finish Your Sentence? 	2019	https://arxiv.org/abs/1905.07830	Rowan Zellers, Ari Holtzman, Yonatan Bisk, Ali Farhadi, Yejin Cho	Proceedings of the Association for Computational Linguistics	ACL	
V	proc	From Recognition to Cognition: Visual Commonsense Reasoning	2019	http://visualcommonsense.com/	Rowan Zellers, Yonatan Bisk, Ali Farhadi, Yejin Choi 	The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)	CVPR (Oral)	
VR	proc	Tactical Rewind: Self-Correction via Backtracking in Vision-and-Language Navigation	2019	https://arxiv.org/abs/1903.02547	Liyiming Ke, Xiujun Li, Yonatan Bisk, Ari Holtzman, Zhe Gan, Jingjing Liu, Jianfeng Gao, Yejin Choi, Siddhartha Srinivasa	The IEEE Conference on Computer Vision and Pattern Recognition (CVPR)	CVPR (Oral)	https://youtu.be/AD9TNohXoPA, Video
R	proc	Prospection: Interpretable Plans From Language By Predicting the Future	2019	https://arxiv.org/abs/1903.08309	Chris Paxton, Yonatan Bisk, Jesse Thomason, Arunkumar Byravan, Dieter Fox 	Proceedings of the International Conference on Robotics and Automation (ICRA)	ICRA	
LV	proc	Shifting the Baseline: Single Modality Performance on Visual Navigation & QA	2019	https://arxiv.org/abs/1811.00613	Jesse Thomason, Daniel Gordon, Yonatan Bisk 	Proceedings of the Annual Conference of the North American Chapter of the Association for Computational Linguistics	NAACL Short	
L	proc	Benchmarking Hierarchical Script Knowledge	2019		Yonatan Bisk, Jan Buys, Karl Pichotta, Yejin Choi 	Proceedings of the Annual Conference of the North American Chapter of the Association for Computational Linguistics	NAACL Short (Oral)	
O	proc	Character-based Surprisal as a Model of Reading Difficulty in the Presence of Errors	2019	https://psyarxiv.com/zcwgn/	Michael Hahn, Frank Keller, Yonatan Bisk, Yonatan Belinkov 	The 41st Annual Meeting of the Cognitive Science Society	CogSci (Oral)	
L	proc	SWAG: A Large-Scale Adversarial Dataset for Grounded Commonsense Inference	2018	http://rowanzellers.com/swag/	Rowan Zellers, Yonatan Bisk, Roy Schwartz, Yejin Choi 	Proceedings of the 2018 Conference on Empirical Methods in Natural Language Processing (EMNLP)	EMNLP (Oral)	https://vimeo.com/305195438, Talk
L	proc	Inducing Grammars with and for Neural Machine Translation	2018	https://arxiv.org/abs/1805.10850	Ke Tran, Yonatan Bisk 	Proceedings of the 2nd Workshop on Neural Machine Translation	Wksp on NMT (best paper)	
LO	proc	Bridging HMMs and RNNs through Architectural Transformations	2018	https://openreview.net/pdf?id=rJxEso0osm	Jan Buys, Yonatan Bisk, Yejin Choi 	32nd Conference on Neural Information Processing Systems (NIPS 2018), IRASL workshop	IRASL wksp @ NeurIPS	
L	proc	Synthetic and Natural Noise Both Break Neural Machine Translation 	2018	https://arxiv.org/abs/1711.02173	Yonatan Belinkov, Yonatan Bisk	Proceedings of the 6th International Conference on Learning Representations	ICLR (Oral)	
V	proc	CHALET: Cornell House Agent Learning Environment 	2018	https://arxiv.org/abs/1801.07357	Claudia Yan, Dipendra Misra, Andrew Bennnett, Aaron Walsman, Yonatan Bisk, Yoav Artzi 	ArXiv Preprint 1801.07357	Tech Report	
LR	proc	Learning Interpretable Spatial Operations in a Rich 3D Blocks World 	2018	/papers/2018-AAAI.pdf	Yonatan Bisk, Kevin Shih, Yejin Choi, Daniel Marcu 	Proceedings of the Thirty-Second Conference on Artificial Intelligence (AAAI-18)	AAAI	/papers/2018-AAAI-Poster.pdf, Poster
L	proc	Natural Language Inference from Multiple Premises	2017	https://arxiv.org/abs/1710.02925	Alice Lai, Yonatan Bisk, Julia Hockenmaier 	Proceedings of the Eighth International Joint Conference on Natural Language Processing	IJCNLP (Oral)	https://groundedlanguage.github.io/, Data, /papers/2016-NAACL-Slides.pdf, Slides, http://techtalks.tv/talks/natural-language-communication-with-robots/62284/, Talk
LR	proc	Natural Language Communication with Robots 	2016	/papers/2016-NAACL.pdf	Yonatan Bisk, Deniz Yuret, Daniel Marcu 	Proceedings of the 15th Annual Conference of the North American Chapter of the Association for Computational Linguistics	NAACL (Oral)	
L	proc	Supertagging with LSTMs	2016	/papers/2016-NAACLShort.pdf	Ashish Vaswani, Yonatan Bisk, Kenji Sagae, Ryan Musa 	Proceedings of the 15th Annual Conference of the North American Chapter of the Association for Computational Linguistics (Short Papers)	NAACL Short (Oral)	http://techtalks.tv/talks/supertagging-with-lstms/62251/, Talk
LR	proc	Towards a Dataset for Human Computer Communication via Grounded Language Acquisition 	2016	o/papers/2016-AAAI-Wksp.pdf	Yonatan Bisk, Daniel Marcu, William Wong 	Proceedings of the AAAI 2016 Workshop on Symbiotic Cognitive Systems	Symbolic Cognitive Systems Wksp	
L	proc	Unsupervised Neural Hidden Markov Models  	2016	/papers/2016-EMNLP-StrcPred.pdf	Ke Tran, Yonatan Bisk, Ashish Vaswani, Daniel Marcu, Kevin Knight 	Proceedings of the Workshop on Structured Prediction for NLP	Structure Pred Wksp (Oral)	/papers/2016-EMNLP-StrcPred-Slides.pdf, Slides
L	proc	Evaluating Induced CCG Parsers on Grounded Semantic Parsing 	2016	http://sivareddy.in/papers/bisk2016evaluating.pdf	Yonatan Bisk, Siva Reddy, John Blitzer, Julia Hockenmaier, Mark Steedman 	Proceedings of the 2016 Conference on Empirical Methods in Natural Language Processing	EMNLP	
L	proc	Probing the Linguistic Strengths and Limitations of Unsupervised Grammar Induction	2015	/papers/2015-ACL.pdf	Yonatan Bisk, Julia Hockenmaier 	Proceedings of the 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing (Volume 1: Long Papers)	ACL (Oral)	http://techtalks.tv/talks/probing-the-linguistic-strengths-and-limitations-of-unsupervised-grammar-induction/61817/, Talk
L	proc	Labeled Grammar Induction with Minimal Supervision  	2015	/papers/2015-ACLShort-Fixed.pdf	Yonatan Bisk, Christos Christodoulopoulos, Julia Hockenmaier 	Proceedings of the 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing (Volume 2: Short Papers)	ACL Short	/papers/2015_ACLShort_Poster.pdf, Poster
L	jour	An HDP Model for Inducing Combinatory Categorial Grammars	2013	/papers/2013-TACL.pdf	Yonatan Bisk, Julia Hockenmaier 	Transactions of the Association for Computational Linguistics	TACL Vol 1.	/papers/2013-TACL-Slides.pdf, Slides, http://techtalks.tv/talks/tacl-an-hdp-model-for-inducing-combinatory-categorial-grammars/58520/, Talk
L	proc	Simple Robust Grammar Induction with Combinatory Categorial Grammar 	2012	/papers/2012-AAAI.pdf	Yonatan Bisk, Julia Hockenmaier 	Proceedings of the Twenty-Sixth Conference on Artificial Intelligence (AAAI-12)	AAAI	
O	proc	Document-Topic Hierarchies from Document Graphs 	2012	/papers/2012-CIKM.pdf	Tim Weninger, Yonatan Bisk, Jiawei Han 	Proceedings of the 21st ACM international conference on Information and knowledge management (CIKM 2012)	CIKM	
L	proc	Induction of Linguistic Structure with Combinatory Categorial Grammars 	2012	/papers/2012-NAACL-WILS.pdf	Yonatan Bisk, Julia Hockenmaier 	NAACL HLT Workshop on Induction of Linguistic Structure	Inducing Ling Structure Wksp	
L	proc	Normal-form parsing for CCGs with generalized composition and type-raising	2010	/papers/2010-COLING.pdf	Julia Hockenmaier, Yonatan Bisk	Proceedings of the 23rd International Conference on Computational Linguistics (Coling 2010)	Coling	
